Time,Amount,Balance,"Balance, USD",Price
2019-09-18 11:09:36+00:00,1118.72097591,"146,545.48722356 BTC","$1,492,951,288 @ $10,187.63",10187.63
2019-09-17 22:24:29+00:00,1030.06455772,"145,426.76624765 BTC","$1,487,509,021 @ $10,228.58",10228.58
2019-09-12 01:50:01+00:00,-20921.78906964,"144,396.70168993 BTC","$1,463,258,945 @ $10,133.6",10133.6
2019-09-10 16:51:30+00:00,1036.93025118,"165,318.49074947 BTC","$1,691,473,901 @ $10,231.61",10231.61
2019-09-06 04:32:16+00:00,1051.03171279,"164,281.56040217 BTC","$1,765,171,542 @ $10,744.79",10744.79
2019-08-27 04:22:34+00:00,1163.73728884,"163,230.52868038 BTC","$1,661,841,032 @ $10,180.94",10180.94
2019-08-26 22:12:44+00:00,1106.04858763,"162,066.79139154 BTC","$1,680,133,748 @ $10,366.92",10366.92
2019-08-26 21:03:06+00:00,1250.26525608,"160,960.74280391 BTC","$1,652,773,578 @ $10,268.18",10268.18
2019-08-24 16:09:14+00:00,1067.40614809,"159,710.47754783 BTC","$1,605,872,016 @ $10,054.89",10054.89
2019-08-20 16:17:44+00:00,1105.20841255,"158,643.07130136 BTC","$1,706,745,475 @ $10,758.4",10758.4
2019-08-19 17:33:56+00:00,1178.07725238,"157,537.86288335 BTC","$1,688,489,120 @ $10,717.99",10717.99
2019-08-14 02:37:57+00:00,1470.11917277,"156,359.78553097 BTC","$1,665,533,363 @ $10,651.93",10651.93
2019-08-13 10:53:53+00:00,1080.10822612,"154,889.6663582 BTC","$1,746,028,549 @ $11,272.72",11272.72
2019-08-10 18:34:56+00:00,1395.58482975,"153,809.55813208 BTC","$1,749,304,399 @ $11,373.18",11373.18
2019-08-10 16:27:37+00:00,1233.2600768,"152,413.97330233 BTC","$1,736,986,655 @ $11,396.51",11396.51
2019-08-10 14:25:49+00:00,1270.23160183,"151,180.71322553 BTC","$1,726,240,725 @ $11,418.39",11418.39
2019-08-09 20:18:56+00:00,1221.32184262,"149,910.4816237 BTC","$1,781,958,264 @ $11,886.82",11886.82
2019-08-06 06:26:24+00:00,1296.23877064,"148,689.15978108 BTC","$1,811,772,097 @ $12,184.96",12184.96
