Time,Amount,Balance,"Balance, USD",Price
2019-07-24 18:36:32+00:00,1000.0,"28,626.48119389 BTC","$276,862,318 @ $9,671.55",9671.55
2019-07-23 14:27:16+00:00,1000.0,"27,626.48119389 BTC","$276,113,783 @ $9,994.53",9994.53
2019-07-16 21:15:21+00:00,-1000.0004427000001,"26,626.48118842 BTC","$254,927,074 @ $9,574.19",9574.19
2019-07-16 19:40:42+00:00,-2000.0008854000002,"27,626.48163112 BTC","$268,104,582 @ $9,704.62",9704.62
2019-07-15 17:06:49+00:00,-1000.0004427000001,"29,626.48251652 BTC","$315,254,241 @ $10,640.96",10640.96
2019-07-12 22:23:38+00:00,-1000.0004427000001,"30,626.48295922 BTC","$361,670,425 @ $11,809.07",11809.07
2019-07-10 15:15:36+00:00,500.1,"31,626.48340192 BTC","$389,303,618 @ $12,309.42",12309.42
2019-07-09 22:42:17+00:00,1001.0,"31,126.38340192 BTC","$391,221,394 @ $12,568.8",12568.8
2019-07-09 19:47:55+00:00,1001.0,"30,125.38340192 BTC","$374,416,455 @ $12,428.6",12428.6
2019-07-05 15:52:08+00:00,-1000.0004427000001,"29,124.38340192 BTC","$326,472,140 @ $11,209.58",11209.58
2019-07-05 15:34:47+00:00,-1000.0011893999999,"30,124.38384462 BTC","$337,681,726 @ $11,209.58",11209.58
2019-07-02 18:23:26+00:00,1001.0,"31,124.38503402 BTC","$335,337,658 @ $10,774.11",10774.11
2019-07-01 18:40:45+00:00,501.0,"30,123.38503402 BTC","$306,972,258 @ $10,190.5",10190.5
2019-07-01 17:18:21+00:00,501.0,"29,622.38503402 BTC","$304,319,039 @ $10,273.28",10273.28
2019-07-01 13:45:05+00:00,1001.0,"29,121.38503402 BTC","$307,380,088 @ $10,555.13",10555.13
2019-06-28 21:08:13+00:00,-3002.00081605,"28,120.38503402 BTC","$344,933,113 @ $12,266.3",12266.3
2019-06-28 01:06:52+00:00,-1000.00033501,"31,122.38585007 BTC","$350,283,700 @ $11,255.04",11255.04
2019-06-26 02:24:51+00:00,750.2,"32,122.38616936 BTC","$386,319,965 @ $12,026.5",12026.5
2019-06-24 14:06:42+00:00,500.1,"31,372.18616936 BTC","$342,391,986 @ $10,913.87",10913.87
2019-06-18 14:41:10+00:00,1000.0,"30,872.08616936 BTC","$280,708,115 @ $9,092.62",9092.62
2019-06-18 02:06:54+00:00,1000.0,"29,872.08616159 BTC","$276,711,065 @ $9,263.2",9263.2
2019-06-16 23:39:44+00:00,1000.0,"28,872.08616159 BTC","$261,885,449 @ $9,070.54",9070.54
2019-06-07 20:59:52+00:00,-2000.00064155,"27,872.08616159 BTC","$221,055,088 @ $7,931.06",7931.06
2019-05-24 22:06:03+00:00,1001.0,"29,872.08680314 BTC","$238,569,396 @ $7,986.37",7986.37
2019-05-24 22:00:17+00:00,1001.0,"28,871.08680314 BTC","$232,607,711 @ $8,056.77",8056.77
2019-05-21 21:09:19+00:00,1000.0,"27,870.08680314 BTC","$221,593,502 @ $7,950.94",7950.94
2019-05-14 18:46:06+00:00,1000.0,"26,870.08680314 BTC","$209,421,682 @ $7,793.86",7793.86
